09:57:52.121 [main] INFO  c.n.journalApp.JournalApplication - Starting JournalApplication using Java 17.0.18 with PID 13672 (C:\Users\EIS\OneDrive\Desktop\Spring Boot\journalApp\journalApp\target\classes started by EIS in C:\Users\EIS\OneDrive\Desktop\Spring Boot\journalApp)
09:57:55.494 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.2"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Eclipse Adoptium/17.0.18+8"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='nishishah01', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@691541bc, com.mongodb.Jep395RecordCodecProvider@5b733ef7, com.mongodb.KotlinCodecProvider@43a4a9e5]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.fdbezn9.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-r6pbtp-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
09:57:55.503 [cluster-ClusterId{value='69c212cb794a632056acf7b2', description='Cluster0'}-srv-cluster0.fdbezn9.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-70j3ux9-shard-00-02.fdbezn9.mongodb.net:27017 to client view of cluster
09:57:55.508 [cluster-ClusterId{value='69c212cb794a632056acf7b2', description='Cluster0'}-srv-cluster0.fdbezn9.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-70j3ux9-shard-00-01.fdbezn9.mongodb.net:27017 to client view of cluster
09:57:56.028 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29985 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-70j3ux9-shard-00-00.fdbezn9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-70j3ux9-shard-00-02.fdbezn9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-70j3ux9-shard-00-01.fdbezn9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
09:57:56.115 [cluster-ClusterId{value='69c212cb794a632056acf7b2', description='Cluster0'}-ac-70j3ux9-shard-00-01.fdbezn9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-70j3ux9-shard-00-01.fdbezn9.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=333348800, minRoundTripTimeNanos=0, setName='atlas-r6pbtp-shard-0', canonicalAddress=ac-70j3ux9-shard-00-01.fdbezn9.mongodb.net:27017, hosts=[ac-70j3ux9-shard-00-01.fdbezn9.mongodb.net:27017, ac-70j3ux9-shard-00-00.fdbezn9.mongodb.net:27017, ac-70j3ux9-shard-00-02.fdbezn9.mongodb.net:27017], passives=[], arbiters=[], primary='ac-70j3ux9-shard-00-02.fdbezn9.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=19, topologyVersion=TopologyVersion{processId=69b2ce26c18ce559ea472555, counter=3}, lastWriteDate=Tue Mar 24 09:57:51 IST 2026, lastUpdateTimeNanos=2996231629400}
09:57:56.114 [cluster-ClusterId{value='69c212cb794a632056acf7b2', description='Cluster0'}-ac-70j3ux9-shard-00-02.fdbezn9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-70j3ux9-shard-00-02.fdbezn9.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=331757400, minRoundTripTimeNanos=0, setName='atlas-r6pbtp-shard-0', canonicalAddress=ac-70j3ux9-shard-00-02.fdbezn9.mongodb.net:27017, hosts=[ac-70j3ux9-shard-00-01.fdbezn9.mongodb.net:27017, ac-70j3ux9-shard-00-00.fdbezn9.mongodb.net:27017, ac-70j3ux9-shard-00-02.fdbezn9.mongodb.net:27017], passives=[], arbiters=[], primary='ac-70j3ux9-shard-00-02.fdbezn9.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000120, setVersion=19, topologyVersion=TopologyVersion{processId=69b2cb9004710ceb835574cd, counter=6}, lastWriteDate=Tue Mar 24 09:57:51 IST 2026, lastUpdateTimeNanos=2996232015200}
09:57:56.115 [cluster-ClusterId{value='69c212cb794a632056acf7b2', description='Cluster0'}-ac-70j3ux9-shard-00-00.fdbezn9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-70j3ux9-shard-00-00.fdbezn9.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=331165500, minRoundTripTimeNanos=0, setName='atlas-r6pbtp-shard-0', canonicalAddress=ac-70j3ux9-shard-00-00.fdbezn9.mongodb.net:27017, hosts=[ac-70j3ux9-shard-00-01.fdbezn9.mongodb.net:27017, ac-70j3ux9-shard-00-00.fdbezn9.mongodb.net:27017, ac-70j3ux9-shard-00-02.fdbezn9.mongodb.net:27017], passives=[], arbiters=[], primary='ac-70j3ux9-shard-00-02.fdbezn9.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=19, topologyVersion=TopologyVersion{processId=69b2c97e5044eec4906ed553, counter=4}, lastWriteDate=Tue Mar 24 09:57:51 IST 2026, lastUpdateTimeNanos=2996231616300}
09:57:56.123 [cluster-ClusterId{value='69c212cb794a632056acf7b2', description='Cluster0'}-ac-70j3ux9-shard-00-02.fdbezn9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-70j3ux9-shard-00-02.fdbezn9.mongodb.net:27017 with max election id 7fffffff0000000000000120 and max set version 19
09:57:57.327 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl
09:57:57.945 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
09:57:57.967 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/journal'
09:57:57.981 [main] INFO  c.n.journalApp.JournalApplication - Started JournalApplication in 6.896 seconds (process running for 8.912)
10:19:49.539 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
10:19:49.600 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
