13:48:11.835 [main] INFO  c.n.journalApp.JournalApplication - Starting JournalApplication using Java 17.0.18 with PID 19924 (C:\Users\EIS\OneDrive\Desktop\Spring Boot\journalApp\journalApp\target\classes started by EIS in C:\Users\EIS\OneDrive\Desktop\Spring Boot\journalApp)
13:48:14.548 [cluster-ClusterId{value='69ccd4c6361a8cafee38af01', description='Cluster0'}-ac-70j3ux9-shard-00-01.fdbezn9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-70j3ux9-shard-00-01.fdbezn9.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=181833100, minRoundTripTimeNanos=0, setName='atlas-r6pbtp-shard-0', canonicalAddress=ac-70j3ux9-shard-00-01.fdbezn9.mongodb.net:27017, hosts=[ac-70j3ux9-shard-00-01.fdbezn9.mongodb.net:27017, ac-70j3ux9-shard-00-00.fdbezn9.mongodb.net:27017, ac-70j3ux9-shard-00-02.fdbezn9.mongodb.net:27017], passives=[], arbiters=[], primary='ac-70j3ux9-shard-00-02.fdbezn9.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=19, topologyVersion=TopologyVersion{processId=69b2ce26c18ce559ea472555, counter=3}, lastWriteDate=Wed Apr 01 13:48:03 IST 2026, lastUpdateTimeNanos=1032867635000}
13:48:14.623 [cluster-ClusterId{value='69ccd4c6361a8cafee38af01', description='Cluster0'}-ac-70j3ux9-shard-00-02.fdbezn9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-70j3ux9-shard-00-02.fdbezn9.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=76065600, minRoundTripTimeNanos=0, setName='atlas-r6pbtp-shard-0', canonicalAddress=ac-70j3ux9-shard-00-02.fdbezn9.mongodb.net:27017, hosts=[ac-70j3ux9-shard-00-01.fdbezn9.mongodb.net:27017, ac-70j3ux9-shard-00-00.fdbezn9.mongodb.net:27017, ac-70j3ux9-shard-00-02.fdbezn9.mongodb.net:27017], passives=[], arbiters=[], primary='ac-70j3ux9-shard-00-02.fdbezn9.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000120, setVersion=19, topologyVersion=TopologyVersion{processId=69b2cb9004710ceb835574cd, counter=6}, lastWriteDate=Wed Apr 01 13:48:03 IST 2026, lastUpdateTimeNanos=1032946202400}
13:48:14.624 [cluster-ClusterId{value='69ccd4c6361a8cafee38af01', description='Cluster0'}-ac-70j3ux9-shard-00-02.fdbezn9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-70j3ux9-shard-00-02.fdbezn9.mongodb.net:27017 with max election id 7fffffff0000000000000120 and max set version 19
13:48:14.679 [cluster-ClusterId{value='69ccd4c6361a8cafee38af01', description='Cluster0'}-ac-70j3ux9-shard-00-00.fdbezn9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-70j3ux9-shard-00-00.fdbezn9.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=69876701, minRoundTripTimeNanos=0, setName='atlas-r6pbtp-shard-0', canonicalAddress=ac-70j3ux9-shard-00-00.fdbezn9.mongodb.net:27017, hosts=[ac-70j3ux9-shard-00-01.fdbezn9.mongodb.net:27017, ac-70j3ux9-shard-00-00.fdbezn9.mongodb.net:27017, ac-70j3ux9-shard-00-02.fdbezn9.mongodb.net:27017], passives=[], arbiters=[], primary='ac-70j3ux9-shard-00-02.fdbezn9.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=19, topologyVersion=TopologyVersion{processId=69b2c97e5044eec4906ed553, counter=4}, lastWriteDate=Wed Apr 01 13:48:03 IST 2026, lastUpdateTimeNanos=1033001901899}
13:48:15.130 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl
13:48:15.630 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
13:48:15.647 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/journal'
13:48:15.660 [main] INFO  c.n.journalApp.JournalApplication - Started JournalApplication in 4.459 seconds (process running for 5.611)
13:48:27.340 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring DispatcherServlet 'dispatcherServlet'
13:48:27.340 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
13:48:27.341 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
